"","Gruppe","samples","variable","value","se"
"1","healthy","AIH049","Fisher",63.5059424481548,NA
"2","healthy","AIH050","Fisher",59.9586370682291,NA
"3","healthy","AIH051","Fisher",65.1840401825496,NA
"4","healthy","AIH053","Fisher",59.5202981247918,NA
"5","healthy","AIH054","Fisher",53.0012960014931,NA
"6","healthy","AIH055","Fisher",31.904477643644,NA
"7","healthy","AIH056","Fisher",58.714671640907,NA
"8","healthy","AIH057","Fisher",72.518598838041,NA
"9","healthy","AIH060","Fisher",58.7525280018062,NA
"10","healthy","AIH061","Fisher",50.9422746336406,NA
"11","healthy","AIH062","Fisher",61.3642293698421,NA
"12","healthy","AIH063","Fisher",34.049603229058,NA
"13","healthy","AIH064","Fisher",69.1555867549704,NA
"14","healthy","AIH065","Fisher",56.7213174969387,NA
"15","healthy","AIH066","Fisher",36.1739743343231,NA
"16","healthy","AIH076","Fisher",18.6714304087721,NA
"17","healthy","AIH081","Fisher",32.0940299503746,NA
"18","healthy","AIH082","Fisher",28.4791447332074,NA
"19","healthy","AIH083","Fisher",46.4033554833142,NA
"20","nonAIHhepControl","AIH001","Fisher",37.6239781333314,NA
"21","nonAIHhepControl","AIH002","Fisher",43.0166213744016,NA
"22","nonAIHhepControl","AIH003","Fisher",28.0327731806867,NA
"23","nonAIHhepControl","AIH005","Fisher",45.9248924847972,NA
"24","nonAIHhepControl","AIH006","Fisher",50.3812019459555,NA
"25","nonAIHhepControl","AIH007","Fisher",12.5908521225444,NA
"26","nonAIHhepControl","AIH009","Fisher",23.2627983283639,NA
"27","nonAIHhepControl","AIH011","Fisher",12.191883385907,NA
"28","nonAIHhepControl","AIH020","Fisher",13.569919635872,NA
"29","nonAIHhepControl","AIH023","Fisher",13.3663827099605,NA
"30","nonAIHhepControl","AIH026","Fisher",27.437253296707,NA
"31","nonAIHhepControl","AIH027","Fisher",32.7625148929019,NA
"32","nonAIHhepControl","AIH029","Fisher",23.4403353976392,NA
"33","nonAIHhepControl","AIH030","Fisher",32.6589011942276,NA
"34","nonAIHhepControl","AIH031","Fisher",26.6207034543264,NA
"35","nonAIHhepControl","AIH032","Fisher",18.9693606341988,NA
"36","nonAIHhepControl","AIH033","Fisher",18.6049670705379,NA
"37","nonAIHhepControl","AIH037","Fisher",22.2329056281184,NA
"38","nonAIHhepControl","AIH042","Fisher",28.7053441170247,NA
"39","nonAIHhepControl","AIH046","Fisher",44.3115896765105,NA
"40","nonAIHhepControl","AIH072","Fisher",32.3963390068256,NA
"41","nonAIHhepControl","AIH074","Fisher",24.3767428215261,NA
"42","nonAIHhepControl","AIH077","Fisher",29.5607886556449,NA
