"","Gruppe","samples","variable","value","se"
"1","AIH","AIH018","Chao1",288.575,9.13980349408025
"2","AIH","AIH021","Chao1",253.870967741935,13.3628953750568
"3","AIH","AIH022","Chao1",243.848484848485,10.2341784506735
"4","AIH","AIH035","Chao1",310.037037037037,11.113460708722
"5","AIH","AIH036","Chao1",230,10.0910615558659
"6","AIH","AIH039","Chao1",261.714285714286,13.7507397378766
"7","AIH","AIH040","Chao1",321.7,31.3591436922235
"8","AIH","AIH043","Chao1",293.023255813953,8.26124450370062
"9","AIH","AIH047","Chao1",406.170731707317,14.6243931219435
"10","AIH","AIH052","Chao1",442.052631578947,10.6324396022035
"11","AIH","AIH058","Chao1",551.365384615385,16.1560764641237
"12","AIH","AIH059","Chao1",384.52380952381,16.1188132039653
"13","AIH","AIH068","Chao1",538.466666666667,20.2661210625487
"14","AIH","AIH069","Chao1",315.5,7.43504868408214
"15","AIH","AIH070","Chao1",284.555555555556,9.00012155393312
"16","AIH","AIH071","Chao1",349.483870967742,17.9875553511825
"17","healthy","AIH049","Chao1",500.886363636364,13.2951599047998
"18","healthy","AIH050","Chao1",476.5,11.0346067020091
"19","healthy","AIH051","Chao1",534.055555555556,16.8274866930448
"20","healthy","AIH053","Chao1",478.8,14.6915855854237
"21","healthy","AIH054","Chao1",440.813953488372,12.579129984548
"22","healthy","AIH055","Chao1",313.5,22.9093139279297
"23","healthy","AIH056","Chao1",520.918032786885,20.6439451590856
"24","healthy","AIH057","Chao1",563.34375,12.5302651589098
"25","healthy","AIH060","Chao1",484.671641791045,13.118437895445
"26","healthy","AIH061","Chao1",422.115384615385,17.6188553135481
"27","healthy","AIH062","Chao1",490.181818181818,14.0810509986156
"28","healthy","AIH063","Chao1",288.535714285714,7.55936924599083
"29","healthy","AIH064","Chao1",573.134328358209,15.9754073606694
"30","healthy","AIH065","Chao1",493.893617021277,18.9993829166822
"31","healthy","AIH066","Chao1",333.372093023256,15.7404365962338
"32","healthy","AIH076","Chao1",192.315789473684,13.9849122385438
"33","healthy","AIH081","Chao1",282.25,11.0003542586787
"34","healthy","AIH082","Chao1",263.913043478261,14.1315093810371
"35","healthy","AIH083","Chao1",384.28125,14.222395011924
