"","Gruppe","samples","variable","value","se"
"1","AIH","AIH018","Fisher",34.039473488937,NA
"2","AIH","AIH021","Fisher",26.8323453140844,NA
"3","AIH","AIH022","Fisher",26.0761824761765,NA
"4","AIH","AIH035","Fisher",35.480588946269,NA
"5","AIH","AIH036","Fisher",24.71660373468,NA
"6","AIH","AIH039","Fisher",27.6963495376202,NA
"7","AIH","AIH040","Fisher",34.2991628042213,NA
"8","AIH","AIH043","Fisher",33.8909862827611,NA
"9","AIH","AIH047","Fisher",48.0765494598217,NA
"10","AIH","AIH052","Fisher",54.2847890371723,NA
"11","AIH","AIH058","Fisher",69.2222130719012,NA
"12","AIH","AIH059","Fisher",49.0457223487642,NA
"13","AIH","AIH068","Fisher",63.7188373764169,NA
"14","AIH","AIH069","Fisher",37.9548876370337,NA
"15","AIH","AIH070","Fisher",32.7980708744057,NA
"16","AIH","AIH071","Fisher",37.8542206594566,NA
"17","healthy","AIH049","Fisher",63.5059424481548,NA
"18","healthy","AIH050","Fisher",59.9586370682291,NA
"19","healthy","AIH051","Fisher",65.1840401825496,NA
"20","healthy","AIH053","Fisher",59.5202981247918,NA
"21","healthy","AIH054","Fisher",53.0012960014931,NA
"22","healthy","AIH055","Fisher",31.904477643644,NA
"23","healthy","AIH056","Fisher",58.714671640907,NA
"24","healthy","AIH057","Fisher",72.518598838041,NA
"25","healthy","AIH060","Fisher",58.7525280018062,NA
"26","healthy","AIH061","Fisher",50.9422746336406,NA
"27","healthy","AIH062","Fisher",61.3642293698421,NA
"28","healthy","AIH063","Fisher",34.049603229058,NA
"29","healthy","AIH064","Fisher",69.1555867549704,NA
"30","healthy","AIH065","Fisher",56.7213174969387,NA
"31","healthy","AIH066","Fisher",36.1739743343231,NA
"32","healthy","AIH076","Fisher",18.6714304087721,NA
"33","healthy","AIH081","Fisher",32.0940299503746,NA
"34","healthy","AIH082","Fisher",28.4791447332074,NA
"35","healthy","AIH083","Fisher",46.4033554833142,NA
