"","Gruppe","samples","variable","value","se"
"1","AIH","AIH018","Simpson",0.815085411968193,NA
"2","AIH","AIH021","Simpson",0.827170828149355,NA
"3","AIH","AIH022","Simpson",0.743954765548052,NA
"4","AIH","AIH035","Simpson",0.908867523929615,NA
"5","AIH","AIH036","Simpson",0.6703561592261,NA
"6","AIH","AIH039","Simpson",0.91655588846033,NA
"7","AIH","AIH040","Simpson",0.573237763531177,NA
"8","AIH","AIH043","Simpson",0.872270457623572,NA
"9","AIH","AIH047","Simpson",0.93790039797066,NA
"10","AIH","AIH052","Simpson",0.876960447122395,NA
"11","AIH","AIH058","Simpson",0.965865180436549,NA
"12","AIH","AIH059","Simpson",0.943831989288564,NA
"13","AIH","AIH068","Simpson",0.932105413609764,NA
"14","AIH","AIH069","Simpson",0.93632615218945,NA
"15","AIH","AIH070","Simpson",0.908376957487473,NA
"16","AIH","AIH071","Simpson",0.903133581578225,NA
"17","nonAIHhepControl","AIH001","Simpson",0.923076791913964,NA
"18","nonAIHhepControl","AIH002","Simpson",0.910788590441822,NA
"19","nonAIHhepControl","AIH003","Simpson",0.845189237454953,NA
"20","nonAIHhepControl","AIH005","Simpson",0.91862410348419,NA
"21","nonAIHhepControl","AIH006","Simpson",0.911853349313519,NA
"22","nonAIHhepControl","AIH007","Simpson",0.562584729896854,NA
"23","nonAIHhepControl","AIH009","Simpson",0.712858075236965,NA
"24","nonAIHhepControl","AIH011","Simpson",0.274703363774942,NA
"25","nonAIHhepControl","AIH020","Simpson",0.821367081738442,NA
"26","nonAIHhepControl","AIH023","Simpson",0.736316779990036,NA
"27","nonAIHhepControl","AIH026","Simpson",0.771084867264133,NA
"28","nonAIHhepControl","AIH027","Simpson",0.765607197131912,NA
"29","nonAIHhepControl","AIH029","Simpson",0.8894700763818,NA
"30","nonAIHhepControl","AIH030","Simpson",0.933012220034875,NA
"31","nonAIHhepControl","AIH031","Simpson",0.871347608129013,NA
"32","nonAIHhepControl","AIH032","Simpson",0.611427963551799,NA
"33","nonAIHhepControl","AIH033","Simpson",0.613362162267614,NA
"34","nonAIHhepControl","AIH037","Simpson",0.855930281395797,NA
"35","nonAIHhepControl","AIH042","Simpson",0.930925922197678,NA
"36","nonAIHhepControl","AIH046","Simpson",0.519088399475072,NA
"37","nonAIHhepControl","AIH072","Simpson",0.84058712309109,NA
"38","nonAIHhepControl","AIH074","Simpson",0.912773983155181,NA
"39","nonAIHhepControl","AIH077","Simpson",0.843771382036681,NA
